State,Year,Total # Polled,Percent Ages 12-17,Percent Ages 18-25,Percent Ages 26+,Percent Ages 18+
Vermont,2017,337,1.78041543,15.72700297,82.78931751,98.21958457
Virginia,2013,"3,734",1.9817889659999999,15.29191216,82.69951794,98.01821103
Virginia,2014,"3,607",1.9406709180000001,15.41447186,82.64485722,98.05932908
Virginia,2015,"3,572",1.8756998880000002,15.22956327,82.89473684,98.12430011
Virginia,2016,"3,613",1.7713811240000001,15.13977304,83.08884583,98.22861888
Virginia,2017,"3,658",1.6402405690000001,14.13340623,84.2263532,98.35975943
Washington,2013,"3,093",1.97219528,14.48431943,83.54348529,98.02780472
Washington,2014,"3,136",1.7538265309999999,13.96683673,84.27933673,98.21428571
Washington,2015,"3,395",1.678939617,12.84241532,85.50810015,98.32106038
Washington,2016,"3,364",1.3971462540000001,12.72294887,85.87990488,98.60285375
Washington,2017,"3,388",1.593860685,13.19362456,85.21251476,98.40613932
West,2013,"31,087",2.254961881,15.51452376,82.23051436,97.74503812
West,2014,"31,894",2.1822286319999997,15.21602809,82.60174327,97.81777137
West,2015,"32,602",1.960002454,14.68928287,83.35071468,98.03999755
West,2016,"32,098",1.6761168919999998,14.27503271,84.0488504,98.32388311
West,2017,"32,657",1.656612671,13.78264997,84.56073736,98.34338733
West Virginia,2013,601,2.495840266,16.47254576,81.03161398,97.50415973
West Virginia,2014,607,2.141680395,16.63920923,81.21911038,97.8583196
West Virginia,2015,648,2.00617284,16.35802469,81.63580247,97.99382716
West Virginia,2016,636,2.201257862,15.88050314,81.91823899,97.79874214
West Virginia,2017,616,2.11038961,15.74675325,82.30519481,97.88961039
Wisconsin,2013,"2,955",2.301184433,14.41624365,83.28257191,97.69881557
Wisconsin,2014,"3,020",2.086092715,14.13907285,83.77483444,97.94701987
Wisconsin,2015,"2,923",1.710571331,14.16353062,84.12589805,98.25521724
Wisconsin,2016,"2,957",1.657084883,14.541765300000002,83.83496787,98.37673318
Wisconsin,2017,"3,004",1.597869507,14.24766977,84.15446072,98.43541944
Wyoming,2013,262,1.908396947,15.64885496,82.44274809,97.70992366
Wyoming,2014,266,1.879699248,15.41353383,83.08270677,98.12030075
Wyoming,2015,261,1.9157088119999999,14.94252874,83.14176245,98.46743295
Wyoming,2016,250,1.6,15.2,83.2,98.4
Wyoming,2017,239,1.6736401669999998,14.64435146,83.68200837,98.32635983
