State,year,Total # Polled,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+,,,Ages 12-17,Ages 18-25,Ages 26+,Ages 18+
Tennessee,2017,"2,440",46,351,"2,044","2,395",,,1.885245902,14.3852459,83.7704918,98.1557377
Texas,2013,"9,827",263,"1,652","7,912","9,564",,,2.67629999,16.81082731,80.5128727,97.32370001
Texas,2014,"10,143",252,"1,689","8,202","9,892",,,2.48447205,16.65187814,80.86364981,97.52538697
Texas,2015,"10,499",235,"1,678","8,587","10,264",,,2.23830841,15.98247452,81.78874178,97.76169159
Texas,2016,"10,523",212,"1,624","8,687","10,311",,,2.01463461,15.43286135,82.55250404,97.98536539
Texas,2017,"10,698",213,"1,594","8,891","10,485",,,1.99102636,14.8999813,83.10899234,98.00897364
Total U.S.,2013,"136,188","3,047","20,783","112,358","133,141",,,2.237348371,15.26052222,82.50212941,97.76265163
Total U.S.,2014,"138,279","2,875","20,777","114,627","135,404",,,2.079129875,15.02541962,82.8954505,97.92087012
Total U.S.,2015,"139,003","2,632","20,591","115,780","136,371",,,1.893484313,14.81334935,83.29316633,98.10651569
Total U.S.,2016,"137,531","2,341","20,060","115,130","135,190",,,1.702161694,14.58580247,83.71203583,98.29783831
Total U.S.,2017,"138,664","2,377","19,542","116,745","136,287",,,1.714215658,14.09305948,84.19272486,98.28578434
Utah,2013,700,22,127,552,679,,,3.142857143,18.14285714,78.85714286,97
Utah,2014,727,19,136,572,708,,,2.613480055,18.70701513,78.67950481,97.38651994
Utah,2015,728,16,132,581,713,,,2.197802198,18.13186813,79.80769231,97.93956044
Utah,2016,709,15,145,549,693,,,2.115655853,20.45133992,77.43300423,97.74330042
Utah,2017,711,17,142,552,693,,,2.390998594,19.9718706,77.6371308,97.46835443
Vermont,2013,319,7,51,261,312,,,2.194357367,15.98746082,81.81818182,97.80564263
Vermont,2014,332,6,53,273,326,,,1.807228916,15.96385542,82.22891566,98.19277108
Vermont,2015,330,6,52,271,324,,,1.818181818,15.75757576,82.12121212,98.18181818
Vermont,2016,327,6,52,270,321,,,1.834862385,15.90214067,82.56880734,98.16513761
Vermont,2017,337,6,53,279,331,,,1.78041543,15.72700297,82.78931751,98.21958457
Virginia,2013,"3,734",74,571,"3,088","3,660",,,1.981788966,15.29191216,82.69951794,98.01821103
Virginia,2014,"3,607",70,556,"2,981","3,537",,,1.940670918,15.41447186,82.64485722,98.05932908
Virginia,2015,"3,572",67,544,"2,961","3,505",,,1.875699888,15.22956327,82.89473684,98.12430011
Virginia,2016,"3,613",64,547,"3,002","3,549",,,1.771381124,15.13977304,83.08884583,98.22861888
Virginia,2017,"3,658",60,517,"3,081","3,598",,,1.640240569,14.13340623,84.2263532,98.35975943
Washington,2013,"3,093",61,448,"2,584","3,032",,,1.97219528,14.48431943,83.54348529,98.02780472
Washington,2014,"3,136",55,438,"2,643","3,080",,,1.753826531,13.96683673,84.27933673,98.21428571
Washington,2015,"3,395",57,436,"2,903","3,338",,,1.678939617,12.84241532,85.50810015,98.32106038
Washington,2016,"3,364",47,428,"2,889","3,317",,,1.397146254,12.72294887,85.87990488,98.60285375
Washington,2017,"3,388",54,447,"2,887","3,334",,,1.593860685,13.19362456,85.21251476,98.40613932
West,2013,"31,087",701,"4,823","25,563","30,386",,,2.254961881,15.51452376,82.23051436,97.74503812
West,2014,"31,894",696,"4,853","26,345","31,198",,,2.182228632,15.21602809,82.60174327,97.81777137
West,2015,"32,602",639,"4,789","27,174","31,963",,,1.960002454,14.68928287,83.35071468,98.03999755
West,2016,"32,098",538,"4,582","26,978","31,560",,,1.676116892,14.27503271,84.0488504,98.32388311
West,2017,"32,657",541,"4,501","27,615","32,116",,,1.656612671,13.78264997,84.56073736,98.34338733
West Virginia,2013,601,15,99,487,586,,,2.495840266,16.47254576,81.03161398,97.50415973
West Virginia,2014,607,13,101,493,594,,,2.141680395,16.63920923,81.21911038,97.8583196
West Virginia,2015,648,13,106,529,635,,,2.00617284,16.35802469,81.63580247,97.99382716
West Virginia,2016,636,14,101,521,622,,,2.201257862,15.88050314,81.91823899,97.79874214
West Virginia,2017,616,13,97,507,603,,,2.11038961,15.74675325,82.30519481,97.88961039
Wisconsin,2013,"2,955",68,426,"2,461","2,887",,,2.301184433,14.41624365,83.28257191,97.69881557
Wisconsin,2014,"3,020",63,427,"2,530","2,958",,,2.086092715,14.13907285,83.77483444,97.94701987
Wisconsin,2015,"2,923",50,414,"2,459","2,872",,,1.710571331,14.16353062,84.12589805,98.25521724
Wisconsin,2016,"2,957",49,430,"2,479","2,909",,,1.657084883,14.5417653,83.83496787,98.37673318
Wisconsin,2017,"3,004",48,428,"2,528","2,957",,,1.597869507,14.24766977,84.15446072,98.43541944
Wyoming,2013,262,5,41,216,256,,,1.908396947,15.64885496,82.44274809,97.70992366
Wyoming,2014,266,5,41,221,261,,,1.879699248,15.41353383,83.08270677,98.12030075
Wyoming,2015,261,5,39,217,257,,,1.915708812,14.94252874,83.14176245,98.46743295
Wyoming,2016,250,4,38,208,246,,,1.6,15.2,83.2,98.4
Wyoming,2017,239,4,35,200,235,,,1.673640167,14.64435146,83.68200837,98.32635983
