age_key,Country_Territory,On-premise,Off-premise,Notes,Legislation
15,Belize,18,18,,"Intoxicating Liquor Licensing Law CAP. 150, as revised December 2000"
16,Benin,20,20,,"Decree of 10 June 1942 regulating the production, import, advertisement, sale and consumption of alcoholic beverages in French West Africa, as cited in Republic of Benin Report to UN Committee on the Rights of the Child CRC/C/BEN/2, 24 November 2005"
17,Bermuda,18,[none],,Liquor License Act 1974 (amended 2014) Art 42
18,Bhutan,18,18,,"Rules and Regulations For Establishment And Operation of Industrial And Commercial Ventures in Bhutan 1995, Rule 17 Notification No. Kha(12-7)/89/5070 dated 26 April 1993"
19,Bolivia,18,18,,"Law 259 Against the Sale and Consumption of Alcoholic Beverages, July 2012 Art 20"
20,Bosnia and Herzegovina,18,18,,Law on Amendments to the Law on Trade (Off. Nov. No. 103/03) Art 1
21,Botswana,18,18,,Liquor Act No.9 of 2004 Art 32
22,Brazil,18,18,,"Presidential Amendment 13,106 of 17 March 2015 of Law 8096 (1990) Statute on Children and Adolescents Art. 243 Decree-Law 3,688 (1941) Law on Criminal Misdemeanors"
23,Brunei,[all sale is prohibited],[all sale is prohibited],"Non-Muslims over 17 years of age are allowed to import alcohol not to exceed maximum total volume 2 liters of liquor and 12 cans of beer at 330 ml for personal use, once in 48 hours. This alcohol must be “stored and consumed at the place of residence of the importer” and is “not to be given, transferred or sold to another person.”","Liquor Form, Royal Customs and Excise Department, Ministry of Finance"
24,Bulgaria,18,18,,"Health Act 2005, Amended 2008 Art 54"
25,Burundi,16,16,unless accompanied by parent,"Alcoholic Beverages Regime 395/FinDou, 26 December 1942"
26,Cabo Verde,18,18,,Law No. 271/V/97
27,Cambodia,[none],[none],,[n/a]
28,Cameroon,18*,[none],*unless accompanied by person aged 21 or above in a supervisory role,"Penal Code n° 67/LF/1, 12 June 1967"
29,Canada,[varies by province],[varies by province],"18 in Manitoba, Alberta, and Quebec; 19 in British Columbia, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Saskatchewan, and Yukon.","Act respecting Offences Relating to Alcoholic Beverages, CQLR c I-8.1"
30,Cayman Islands,18,18,,Liquor Licensing Law Art 21
31,Chad,18*,18*,*unless accompanied by supervising adult,Law 2017-01 Penal Code Art 376-378
32,Chile,18,18,,Law 19.925 on the Sale and Consumption of Alcoholic Beverages
33,China,18*,18*,*Macau autonomous region does not have specific regulation limiting the sale of alcohol beverages to minors.,Law on the Protection of Minors as revised in 2006 Art 37
34,Chinese Taipei,18,18,,Tobacco and Alcohol Administration Act 2000 Art 35
35,Colombia,18,18,,"Decree 120 of 21 January 2010 Adopting measures related to consumption of alcohol, Art 17"
36,Comoros,[varies by religion],[varies by religion],sale to Muslims is prohibited,"Penal Code Arts 229-6, 229-7"
37,Costa Rica,18,18,,Decree 17410 (2010) Law Regulating Alcoholic Beverages
38,Croatia,18,18,,"Trade Act (Official Gazette of the Republic of Croatia 87/2008, 116/2009, 76/2009, 114/2011, 68/2013 and 30/2014)"
39,Cuba,16,16,,"Resolution No 334/04, Official Gazette 7 January 2005"
40,Cyprus,18,18,,Sale of Alcoholic Beverage Law (Cap 144) Art 5A
41,Czechia,18,18,,"Act 379/2005 on Measures to Protect Against Damage Caused by Tobacco Products, Alcohol and Other Addictive Substances, through Amendment 274/2008"
42,Denmark,18,[varies by beverage],Off premise: 16 for beer and wine; 18 for alcoholic beverages containing 16.5% or more alcohol per volume.,"Act prohibiting the sale of tobacco and alcohol to persons under 16, march 2004"
43,Djibouti,[none],[none],,[n/a]
44,Dominica,16,16,,"Laws of Dominica Liquor Licences Act Chapter 70:03, Part IV, Sec 15(f)"
45,Dominican Republic,18,18,,"Law No.136-03: Code for the protection of the rights of Children and Adolescents 2003, Art 22"
46,Ecuador,18,18,,"Reforms of the General Rules on the Natural Law for consumer Protection, 11 June 2001 No.344"
47,Egypt,21,21,,Law of Public Places Art 2 Law of Recreational Places and Law 63/1976 Art 24
48,El Salvador,18,18,,Law regulating the production and sale of alcohol and alcoholic beverages No640 (1996)
49,Eritrea,18,18,,Penal Code Art 267
50,Estonia,18,18,,Alcohol Act 1999 Art 19
